관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
임진각관광지,관광지,경기도 파주시 문산읍 임진각로 177,경기도 파주시 문산읍 사목리 494-1,37.8893177,126.740081,477894,관리사무실+관광안내매표소1층+화장실3동+홍보관1층+상황실2층+오수처리장1층+기반시설(도로+광장+주차장),없음,유원시설(평화랜드)+관광열차(평화열차),기념비공원6.25납북자기념관망배단망향의노래비평화의 종각철마는달리고싶다아웅산위령탑장단콩전시관,없음,없음,1991-01-28,50000,2091,"서울에서 북서쪽으로 약 54km 떨어진 임진각은 6.25 전쟁의 비통한 한이 서려 있는 곳이다. 6,000평 대지 위에 지하 1층, 지상 3층의 임진각은 1972년에 북한 실향민을 위해 세워져 지금은 관광명소로 많이 알려져 있다. 이곳에는 평화와 환경의 중요성을 전달하는 경기평화센터가 있다. 또한, 철마는 달리고 싶다 철도중단점, 북한 실향민을 위한 망배단, 미얀마 아웅산 순국외교사절 위령탑, 한국전쟁의 대표 유산으로서 50여년 만에 개방이 된 자유의 다리와 한반도의 지령을 본딴 통일연못, 평화의 종, 미국군 참전기념비 등이 있는 통일안보 관광지이다. 더불어 남북교류 및 화해협력의 장소로 통일관련행사를 많이 치르고 있다. 판문점처럼 복잡한 허가절차를 필요로 하지 않는 관광지로서 경기도내에서 가장 외국인이 많이 찾는 곳이 되었다. 최근 소규모 어린이 놀이시설을 개발하여 바이킹, 미니열차 등을 이용할수 있다.",031-950-1871,파주시 시설관리공단,2021-03-30,4060000,경기도 파주시
공릉관광지,관광지,경기도 파주시 조리읍 장곡로 218,경기도 파주시 조리읍 장곡리 420-6,37.7498111,126.8335655,621155,관리사무소+화장실4동+도로+광장+주차장,없음,눈썰매장+ 수영장유원시설(하니랜드),공릉관광지 캠핑장,없음,없음,1977-03-31,3000,350,"공릉 근처에 있다. 보트와 배 등 수상 레저시설을 갖춘 호반 관광지이다. 관광지 안에 들어선 하니랜드에는 10여 종의 놀이시설과 야외수영장, 낚시터,눈썰매장,산책로 등이 갖추어져 있다. 개장시간은 오전 10시부터 오후 6시까지이다.",031-945-2250,㈜성원레저,2021-03-30,4060000,경기도 파주시
송정관광지,관광지,경상남도 남해군 미조면 미송로 483,경상남도 남해군 미조면 송정리 1129,34.7231451,128.0249666566,605283,샤워탈의장/화장실(2동)+관리사무실(2동)+오수처리장+주차장,,,,,,1994-10-21,10000,387,"해수욕장이 넓게 분포되어 있으며, 해수욕장을 조금만 벗어나면 몽돌과 기암괴석이 뒤섞인 단애의 해안을 구경할 수 있다.",055-860-8615,경상남도 남해군,2021-03-31,5430000,경상남도 남해군
예당국민관광지,관광지,충청남도 예산군 응봉면 예당관광로 161,,36.63801252,126.799434,143000,관리사무소+화장실(6동)+주차장,,,,,,1986-05-02,20000,185,"예당호를 배경으로 예당호 출렁다리, 예당호 조각공원, 느린호수길, 캠핑장, 야영장이 조성되어 있어 가족단위 휴양객이 즐길수 있는 관광지",041-339-8282,충청남도 예산군청,2021-05-25,4610000,충청남도 예산군
덕산온천관광단지,관광단지,충청남도 예산군 덕산면 온천단지2로 11,충청남도 예산군 덕산면 신평리 513,36.69075649,126.659328,724544.5,관광안내소+화장실(2동)+주차장,리솜스파캐슬,,,,,1981-09-22,100000,350,"1917년 처음으로 탕을 이용한 온천으로 개장됐으며, 49도씨 이상의 천연중탄산나트륨 온천수로 전국 최고의 온천수로 인정받고 있다.",041-339-7303,충청남도 예산군청,2021-05-25,4610000,충청남도 예산군
만리포 관광지,관광지,,충청남도 태안군 소원면 만리포2길 190-3,,,321561.8,106173.5,68560.4,31730.8,39758.4,,,2010-05-06,30000,1760,관광진흥과,041-670-2770,태안군,2021-05-25,4620000,충청남도 태안군
심우장,관광지,서울특별시 성북구 성북로29길 24,서울특별시 성북구 성북동 222-1,37.5936268,126.9916662,386,화장실,,,,,,1984-07-05,100,0,만해 한용운의 일제강점기 머물던 집,02-741-4693,문화체육과,2021-05-17,3070000,서울특별시 성북구
길상사,관광지,서울특별시 성북구 선잠로5길 68(성북동),서울특별시 성북구 성북동 324-1,37.59895542,126.9943663,16939,화장실,,,,,,1997-12-14,1000,50,최고급 요정에서 도심속 도량으로 환골탈퇴,02-3672-5945,길상사,2021-05-17,3070000,서울특별시 성북구
한국가구박물관,관광지,서울특별시 성북구 대사관로121,서울특별시 성북구 성북동 330-577,37.60001178,126.9932084,5555,화장실+라운지,,,,,,2013-01-01,20,35,한국의 전통가구를 한눈에 볼수있는 곳,02-745-0181,한국가구박물관,2021-05-17,3070000,서울특별시 성북구
성류굴 관광지,관광지,경상북도 울진군 근남면 성류굴로 202,경상북도 울진군 근남면 노음리 850-12,36.95884825,129.3794409,56000,"도로,주차장,광장,화장실,오수처리장",펜션하우스,-,"동굴생태전시관,야외공연장",-,-,1981-01-18,3300,91,성류굴 주변 관광지,054-789-5402,울진군청,2021-05-13,5250000,경상북도 울진군
백암온천 관광지,관광지,경상북도 울진군 온정면 온천로 7,경상북도 울진군 온정면 소태리 1453,36.72132775,129.343467,357132,"도로,주차장,정류장,공원,녹지,소하천,온천공,소방시설,국유림관리소,배수지","호텔,콘도미니엄,국민호텔,교육원,여관,펜션","다목적운동장,축구장,잔디썰매장,체력단련장,극기체험장,족구장,서바이벌게임장","회의장,전망대,조경휴게소,자연학습장",-,-,1987-12-31,15310,501,백암산 온천수를 이용한 온천관광지,054-789-5480,울진군청,2021-05-13,5250000,경상북도 울진군
대광해수욕장,관광지,전라남도 신안군 임자면 대광해수욕장길 179,전라남도 신안군 임자면 광산리 407-24,35.1029127579,126.0725116633,1500,화장실(6동)+주차장(4개소)+취사장(5동)+관리사업소(1동),,,,,,1990-09-21,10000,1000,넓은 백사장과 주변 섬들의 경관 등 천혜의 자연환경을 지님,061-240-4049,대광개발사업소,2021-05-13,5010000,전라남도 신안군
반월호수,관광지,경기도 군포시 호수로 92,경기도 군포시 둔대동 52-2,37.3245823842,126.8899642222,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다.,031-392-3000,군포시,2021-05-12,4020000,경기도 군포시
초막골 생태공원,관광지,경기도 군포시 초막골길 216,경기도 군포시 산본동 856,37.3541009709,126.9191416994,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다.,031-392-3000,군포시,2021-05-12,4020000,경기도 군포시
수리산 도립공원,관광지,경기도 군포시 속달로 347-4,경기도 군포시 속달동 306,37.3479964585,126.9005247934,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,군포시민에게 마음의 안식처로 사랑받고 있는 수리산은 규모가 크고 봉우리가 많아 능선이 여러 갈래로 굽이쳐 기호에 따라 다양한 산행을 할 수 있다.,031-8008-8265,수리산도립공원 탐방안내소,2021-05-12,4020000,경기도 군포시
수리산 산림욕장,관광지,경기도 군포시 수리산로 6-2,경기도 군포시 산본동 1226,37.3576152712,126.9236481004,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,"도심 속에서 숲을 느낄 수 있는 공간으로 산림욕장을 걷는 내내 북카페, 발지압장, 운동기구 등 체험할 수 있는 시설들이 가득하다.",031-392-3000,군포시,2021-05-12,4020000,경기도 군포시
철쭉동산,관광지,경기도 군포시 고산로 460,경기도 군포시 산본동 1152-10,37.3556081320,126.9269137321,1,화장실,없음,유선문의,유선문의,유선문의,유선문의,2021-05-12,100,1,빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다.,031-392-3000,군포시,2021-05-12,4020000,경기도 군포시
