길명,길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자,위도,경도,제공기관코드,제공기관명
남명조식선비길,오늘날 더욱 그리운 선비의 정신,9,2시간,외토리쌍비,경상남도 합천군 삼가면 남명로 57,경상남도 합천군 삼가면 외토리 424-2,삼가향교,경상남도 합천군 삼가면 소오2길 18,경상남도 합천군 삼가면 소오리 342,"외토리쌍비→뇌룡정, 용암서원→용연사, 용연서원→남명생가터→기양루→삼가시장→삼가향교",055-930-3178,합천군청 문화체육과,2021-08-31,,,5480000,경상남도 합천군
황매산기적길,오르면 오를수록 기운이 차오르는 산,4,2시간,영암사지,경상남도 합천군 가회면 황매산로 637-97,경상남도 합천군 가회면 둔내리 1659,영암사지,경상남도 합천군 가회면 황매산로 637-97,경상남도 합천군 가회면 둔내리 1659,영암사지→돛대바위→무지개터→모산재→순결바위→국사당→영암사지,055-930-4753,합천군청 산림과,2021-08-31,,,5480000,경상남도 합천군
합천호둘레길,산자락도 발 담그고 쉬어가는 호숫길,30,6시간,합천댐물문화관,경상남도 합천군 대병면 합천호수로 197,경상남도 합천군 대병면 회양리 1603-1,봉산새터관광단지,경상남도 합천군 봉산면 서부로 4344-11,경상남도 합천군 봉산면 김봉리 420-4,"합천댐물문화관, 창의사→대병회양관광단지→옥계서원→고삼마을→봉산새터관광단지",055-930-3753,합천군청 관광진흥과,2021-08-31,,,5480000,경상남도 합천군
정양늪생명길,그윽하게 마음을 가다듬어 주는 아담한 습지,6,1시간30분,정양늪 입구 주차장,경상남도 합천군 대양면 대야로 730,경상남도 합천군 대양면 정양리 601-1,정양늪 입구 주차장,경상남도 합천군 대양면 대야로 730,경상남도 합천군 대양면 정양리 601-1,정양늪 입구 주차장사→황토흙길(왕복)→나무데크(왕복),055-930-3312,합천군청 환경위생과,2021-08-31,,,5480000,경상남도 합천군
황강은빛백사장길,합천은 황강의 땅 황강은 여름의 땅,2,40분,황강레포츠공원,경상남도 합천군 대양면 동부로 39-13,경상남도 합천군 대양면 정양리 101-9,합천군수 이증영 유허비,경상남도 합천군 합천읍 죽죽길 72-5,경상남도 합천군 합천읍 합천리 산2,황강레포츠공원→대야로→게이트볼장→함벽루→합천군수 이증영 유허비,055-930-4663,합천군청 관광진흥과,2021-08-31,,,5480000,경상남도 합천군
다라국황금이야기길,알려지지 않아 더욱 신비로운 다락국의 역사,0.3,1시간30분,합천박물관,경상남도 합천군 쌍책면 황강옥전로 1558,경상남도 합천군 쌍책면 성산리 504,옥전고분군,경상남도 합천군 쌍책면 황강옥전로 1558,경상남도 합천군 쌍책면 성산리 산23,합천박물관→옥전고분군,055-930-4883,합천군청 문화체육과,2021-08-31,,,5480000,경상남도 합천군
엄광산 나들숲길,엄광산의 다양한 전망의 등산길,15,8시간,개금사회복지관,부산광역시 부산진구 복지로 116(개금동),부산광역시 부산진구 개금동 633-13,가야 삼정그린코아,부산광역시 부산진구 엄광로 238번길 5,부산광역시 부산진구 가야동 361-85,개금복지관→편백샤워장→산림청 전망데크→소쿠리약수터→동의대야구장→대원사→행복선원→안창마을→삼정그린코아,051-605-4547,부산광역시 부산진구청,2021-08-26,,,3290000,부산광역시 부산진구
백양산 나들숲길,백양산의 편백숲이 장관인 등산길,32,12시간,초읍삼환아파트,부산광역시 부산진구 성지곡로 67(초읍동),부산광역시 부산진구 초읍동 360-1,개림초등학교,부산광역시 부산진구 백양대로 320번길 40,부산광역시 부산진구 개금동 산22-6,삼환아파트→옥천약수터→바람고개→초연중→해오름전망대→천안사→백선약수터→백양터널→개금우드빌→개금반도보라아파트→개림초등학교,051-605-4547,부산광역시 부산진구청,2021-08-26,,,3290000,부산광역시 부산진구
아라메길(1),서산 아라메길이란 바다의 고유어인 (아라)와 산의 우리말인 (메)를 합친말로 바다와 산이 만나는 서산지역의 특색을 갖춘 사람과 자연이 함께 이루어진 대화와 소통의 공간으로 아늑함과 포근함이 담긴 친환경 트레킹 코스입니다.,18,6시간,유기방가옥,,충청남도 서산시 운산면 여미리 203-2,해미읍성,충청남도 서산시 해미면 남문2로 143,충청남도 서산시 해미면 읍내리 179,유기방가옥(0) - 신정묘(0.3) - 유상묵가옥(0.8) - 미평교(4.7) - 고풍저수지(5.5) - 용현계곡입구(6.8) - 서산 용현리 마애여래삼존상(7.4) - 보원사지(8.9) - 개심사(11.4) - 임도접경지(13.4) - 분기점 공터(14.6) - 정자(조망대14.9) - 해미읍성 북문(17.7) - 해미읍성(18.0),041-660-2372,서산시청 관광과,2021-08-06,,,4530000,충청남도 서산시
아라메길(1-1),서산 아라메길이란 바다의 고유어인 (아라)와 산의 우리말인 (메)를 합친말로 바다와 산이 만나는 서산지역의 특색을 갖춘 사람과 자연이 함께 이루어진 대화와 소통의 공간으로 아늑함과 포근함이 담긴 친환경 트레킹 코스입니다.,6,2시간,보원사지,,충청남도 서산시 운산면 용현리 48,보원사지,,충청남도 서산시 운산면 용현리 48,보원사지터(0) - 개심사입구(2) - 전망대(3) - 전망대입구3거리(3.1) - 용현자연휴양림매표소(5.3) - 보원사지터(6),041-660-2372,서산시청 관광과,2021-08-06,,,4530000,충청남도 서산시
