축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제1회 대청호 벚꽃축제,대전광역시 동구 신상동 282번지 일원,2019-04-05,2019-04-07,"벚꽃축제, 벚꽃가요제, 벚꽃길 걷기대회 등",대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6685,http://www.donggu.go.kr,,,대전광역시 동구 신상동 282,36.3535904387,127.4980431419,2021-12-17,3640000,대전광역시 동구
코로나19 확산 방지를 위해 공연행사가 취소되었으니 향후 일정이 정해지는대로 업데이트하겠습니다.,수영구 광안리해변 일원,2021-12-31,2021-12-31,코로나19 확산 방지를 위해 공연행사가 취소되었으니 향후 일정이 정해지는대로 업데이트하겠습니다.,수영구,수영구축제위원회,부산시,051-610-4062,www.suyeong.go.kr/eobang,코로나로 인한 행사취소,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694,2021-12-21,3380000,부산광역시 수영구
강감찬축제,온라인 개최,2021-10-14,2021-10-17,"강감찬 장군 출병식 및 전승행렬 거리 퍼레이드, 고려마을 테마 체험부스, 강감찬 장군 추모제향 등 다채로운 행사 진행",관악구,관악구,,02-879-5603,http://www.gwanak.go.kr/html/gang/sub/sub.html,,"서울특별시 관악구 관악로 145, 교육사업과(관악구청)",서울특별시 관악구 봉천동 1570-1,37.47823402,126.9515012,2021-12-15,3200000,서울특별시 관악구
천만송이 국화축제,중앙체육공원,2022-10-28,2022-11-06,국화축제,익산시 농업기술센터,익산시,익산시,063-859-4977,https://www.iksan.go.kr/gukhwa/index.iksan,"국화전시,국화우수작품전시,농산물판매장,체험장",전라북도 익산시 하나로 322,,35.94972951,126.9861274,2021-12-14,4680000,전라북도 익산시
담양대나무축제,죽녹원 및 관방제림 일원,2022-05-01,2022-05-05,"대나무 관련 전시, 체험, 공연, 판매 등",(사)담양대나무축제위원회,전라남도 담양군청,문화체육관광부+전라남도+한국관광공사,061-380-3152,www.bamboofestival.co.kr,,전라남도 담양군 담양읍 메타프로방스 1길 17,전라남도 담양군 담양읍 학동리 586-1,35.32260525,127.0018114,2022-01-13,4850000,전라남도 담양군
담양산타축제,담양 원도심 및 메타프로방스 일원,2022-12-17,2022-12-31,"크리스마스거리조성, 크리스마스마켓 운영 등",담양산타축제추진위원회,전라남도 담양군청,,061-380-3152,,,전라남도 담양군 담양읍 메타프로방스 1길 17,전라남도 담양군 담양읍 학동리 586-1,35.32260525,127.0018114,2022-01-13,4850000,전라남도 담양군
추월산벚꽃축제,용면 추월산광장 일원,2022-04-09,2022-04-10,"벚꽃노래자랑, 특산품판매 등",용면청년회,전라남도 담양군청,,061-380-3152,,,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,35.36483985,126.9872053,2022-01-13,4850000,전라남도 담양군
창평전통음식문화축제,창평슬로시티 일원,2022-10-26,2022-10-28,"슬로푸드전시, 체험, 판매 등",창평면주민자치위원회,전라남도 담양군청,,061-380-3152,,,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.017861,2022-01-13,4850000,전라남도 담양군
가로수사랑음악회,가로수사랑군민연대,2022-11-05,2022-11-06,"지역출신가수공연, 특집라디오공개방송 등",담양가로수사랑군민연대,전라남도 담양군청,,061-380-3152,,,전라남도 담양군 담양읍 지침3길 7-5,전라남도 담양군 담양읍 지침리 132-28,35.31617363,126.9840063,2022-01-13,4850000,전라남도 담양군
고서포도축제,고서면 증암천변 일원,2023-08-19,2023-08-21,특산품 홍보 및 판매,고서포도축제추진위원회,전라남도 담양군청,,061-380-3152,,,전라남도 담양군 고서면 가사문학로 325,전라남도 담양군 고서면 동운리 583-4,35.22370105,126.9729391,2022-01-13,4850000,전라남도 담양군
풍암골 신암마을 당산제,풍암 제7어린이공원내 (풍암동1129),2022-02-15,2022-02-15,(코로나19로 인한 취소) 민속고유 명절인 대보름을 맞이하여 사라져가는 전통세시풍속인 당산제를 재현하여 지역 주민들의 평안과 발전 및 풍요다산을 기원,광주광역시 서구,미정,광주광역시,062-350-4988,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,,,광주광역시 서구 풍암동 1129,35.12401153,126.8815859,2022-01-28,3600000,광주광역시 서구
서창만드리 풍년제,서구 서창동 한옥문화관 일원,2022-07-25,2022-08-12,"의식행사, 들노래 만드리 재현, 문화예술공연, 전통문화 체험부스 운영 등",광주광역시 서구,미정,광주광역시,062-350-4988,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387,2022-01-28,3600000,광주광역시 서구
영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2022-10-07,2022-10-10,"공식행사, 포토존, 비대면 공연, 온라인전시, 부대행사 등",광주광역시 서구,광주광역시 서구,"광주광역시, 광주환경공단",062-350-4792,http://www.sgfesta.co.kr,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,광주광역시 서구 서창둑길 377(벽진동),광주광역시 서구 벽진동 505-1,35.13849504,126.828739,2022-01-28,3600000,광주광역시 서구
해맞이 행사,오봉산 등,2022-01-01,2022-01-01,"새해 소원빌기 행사, 새해안녕기원행사,해맞이공연, 먹거리제공 등",북구청 문화예술과,공모사업,,,,,,대구광역시 북구 구암동 349,35.93240689,128.567486,2022-01-28,3450000,대구광역시 북구
금호강 정월대보름축제,산격대교 하단,2022-02-15,2022-02-15,"달집태우기, 달맞이 행사 등",북구청 문화예술과,공모사업,,,,매년 정월대보름,,대구광역시 북구 산격동 1477-1,35.90892344,128.6033802,2022-01-28,3450000,대구광역시 북구
전국청소년댄스페스티벌 꿈을 향한 무승부,의정부시청소년수련관,2022-09-17,2022-09-17,퍼포먼스 댄스경연대회 및 축하공연 등,의정부시청소년수련관+기호일보,의정부시청소년재단,,031-828-9544,http://www.uiyouth.or.kr,홈페이지 참조,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-02-17,3820000,경기도 의정부시
의정부시 청소년 진로페스티벌,의정부시청소년수련관,2022-05-23,2022-05-27,"직업인, 대학생 멘토 인터뷰 및 E-sports 대회 뷰티아카데미등",의정부시청소년수련관,의정부시청소년재단,,031-828-9558,http://www.youthexpo.or.kr,홈페이지 참조,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-02-17,3820000,경기도 의정부시
의정부 청소년 영화제,의정부시청소년수련관,2022-11-05,2022-11-05,청소년 영화 상영 및 시상식,의정부시청소년수련관,의정부시청소년재단,,031-828-9557,https://uyff.modoo.at,홈페이지 참조,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-02-17,3820000,경기도 의정부시
청소년 푸른별 콘서트,의정부시청소년수련관,2022-12-01,2022-12-01,청소년 동아리 공연 및 인기가수 축하공연,의정부시청소년재단+경인일보,의정부시,,031-828-9542,http://www.uiyouth.or.kr,홈페이지 참조,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-02-17,3820000,경기도 의정부시
청소년안전망 페스티발,의정부시청소년수련관,2022-05-21,2022-05-21,"기념식, 문화공연, 부스운영, 체험 전시",의정부시청소년상담복지센터,의정부시청소년재단,,031-828-9563,http://www.uiyouth.or.kr,홈페이지 참조,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-02-17,3820000,경기도 의정부시
청소년 행복주간 지역마을축제(동부권역),부용천(새말역),2022-05-24,2022-05-24,청소년 유관기관 부스 및 체험 프로그램 운영,새말청소년문화의집,의정부시청소년재단,,031-828-9583,http://www.uiyouth.or.kr,홈페이지 참조,경기도 의정부시 장곡로 551,경기도 의정부시 신곡동 815-1,37.7488377,127.0637621,2022-02-17,3820000,경기도 의정부시
