거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
선수벤댕이마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 화도면 내리일원,,37.632067,126.396256,300,22,2009,032-930-3832,강화군청 환경위생과 위생팀,2020-09-18,3570000,인천광역시 강화군
외포리꽃게마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 내가면 외포리일원,,37.706041,126.380544,2000,7,2012,032-930-3832,강화군청 환경위생과 위생팀,2020-09-18,3570000,인천광역시 강화군
강화별밤거리,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 강화읍 관청리 일원,,37.752368,126.481831,300,19,2017,032-930-3832,강화군청 환경위생과 위생팀,2020-09-18,3570000,인천광역시 강화군
복수 한우음식특화거리,"한우만을 취급하는 한우 전문 식당거리 조성, 산과 강이 어우려진 자연환경과 조화를 이룬 한우전문 외식거리, 정육점과 음식점의 공동운영으로 저렴한 가격으로 최상의 한우 제공, 한우 전문 음식점 23개소",충청남도 금산군 복수면 복수로,,,,11900,19,2009,041-750-2505,충청남도 금산군청,2021-01-11,6440000,충청남도
추부 추어탕거리,"하늘이 준 건강선물 인삼과 추어탕이 어우려진 인삼추어탕거리 조성, 추어탕 전문식당 밀집으로 다양하고 고유한 전통추어탕의 맛을 취향, 별로 선택하여 맛볼 수 있는 전문 추어탕거리, 추어탕 전문 음식점 23개소",충청남도 금산군 추부면 마전로,,,,2000,20,2009,041-750-2505,충청남도 금산군청,2021-01-11,6440000,충청남도
금강변 민물어죽마을,"금산 상류 청정지역에서 자란 민물고기로 요리한 전문 어죽마을, 산과 강이 어우러진 천혜의 자연환경과 어우러져 최상의 휴양 명소로 자리잡은 원골에 민물 전문 음식마을 조성, 민물 · 어죽 및 매운탕 전문음식점 28개소",충청남도 금산군 제원면 금강로,,,,4700,22,2009,041-750-2505,충청남도 금산군청,2021-01-11,6440000,충청남도
서동공원 향토음식특화거리,서동공원(궁남지)의 연꽃단지와 연계하여 다른 지역과 특성화 및 차별화된 연 관련 음식을 개발하고 시설환경 정비 등 서비스 수준향상을 통한 향토음식점 거리 육성,충청남도 부여군 궁남로,충청남도 부여군 부여읍 동남리 277-9,36.272916,126.913191,815,32,2015,041-830-2591,충청남도 부여군 농업기술센터,2021-01-11,6440000,충청남도
홍주골 음식문화 거리,70여곳의 음식점이 밀집되어 있는 T자형 음식문화거리,충청남도 홍성군 법원로 월산로 일원,충청남도 홍성군 홍성읍 월산리 895-1,,,800,59,2014,041-630-9015,충청남도 홍성군보건소,2021-01-11,6440000,충청남도
불당동문화카페거리,75곳의 카페가 밀집되어 있는 카페거리,충청남도 천안시 서북구 불당16길,충청남도 천안시 서북구 불당동 1358,36.8003326,127.1068109,650,75,2014,041-521-5443,충청남도 천안시청,2021-01-11,6440000,충청남도
천안가구웨딩거리,웨딩과 가구점이 밀집되어 있는 거리,충청남도 천안시 서북구 백석로,충청남도 천안시 서북구 성정동 683-12,36.8186917,127.1403375,400,90,2008,041-521-5443,충청남도 천안시청,2021-01-11,6440000,충청남도
쌍용패션거리,의류상가가 밀집되어 있는 거리,충청남도 천안시 서북구 쌍용대로,충청남도 천안시 서북구 쌍용동 1164,36.8023879,127.1314602,450,95,2008,041-521-5443,충청남도 천안시청,2021-01-11,6440000,충청남도
휴대폰거리,휴대폰상가가 밀집되어 있는 거리,충청남도 천안시 서북구 중앙로,충청남도 천안시 동남구 성황동 92-4,36.8123042,127.1526589,200,12,2008,041-521-5443,충청남도 천안시청,2021-01-11,6440000,충청남도
공구상가거리,공구상가가 밀집되어 있는 거리,충청남도 천안시 서북구 신용로,충청남도 천안시 동남구 다가동 367-4,36.8011315,127.1436935,600,80,2008,041-521-5443,충청남도 천안시청,2021-01-11,6440000,충청남도
