휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강씨봉자연휴양림,경기도,공유림,9800000,102,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집, 산림휴양관 등",경기도 가평군 북면 논남기길 520,경기도산림환경연구소,031-8008-6611,http://farm.gg.go.kr,37.9698930209,127.4083285104,2020-05-10,6410000,경기도
칼봉산자연휴양림,경기도,공유림,2640000,160,0,Y,"숲속의집, 산림휴양관, 생태숲, 생태체험학습장, 야영장 등",경기도 가평군 가평읍 경반안로 454,가평군 시설관리공단,031-8078-8061,www.kalbong.com,37.8365339,127.4651587385,2020-05-10,6410000,경기도
구름산산림욕장,경기도,국유림,3000000,300,무료,N,"피크닉장, 황토길, 세족장, 야외소공연장, 놀이시설",경기도 광명시 하안동 산141-7,광명시,02-2680-2377,http://www.gm.go.kr/pt/user/bbs/BD_selectBbs.do?q_bbsCode=2298&q_bbscttSn=20190218155830749,37.454013,126.876365,2020-07-15,6410000,경기도
문수산산림욕장,경기도,공유림,700000,,주차료(1000~5000원),N,"숲길,산림욕장",경기도 김포시 월곶면 문수산로 102-38,"김포시 시설관리공단(산림욕장 관리), 김포시 공원녹지과(숲길관리)",031-988-2965,http://www.gp.or.kr/sub03/sub03_01.asp,37.737829,126.5308885,2020-06-16,6410000,경기도
축령산자연휴양림,경기도,공유림,7790000,172,"일반1000원, 청소년 600원, 어린이 300원",Y,"숲속의집, 산림휴양관, 야영장 등",경기도 남양주시 수동면 축령산로 299,경기도산림환경연구소,031-591-0681,http://farm.gg.go.kr,37.7547680401,127.3132530480,2020-05-10,6410000,경기도
동두천자연휴양림,경기도,공유림,700000,1000,성인2000+청소년구인1500+아동1000,Y,"숲속의집, 야외데크, 잔디광장, 유아숲체험원,",경기도 동두천시 탑동가산로 1,동두천시청 관광휴양과,031-860-3258,blog.naver.com/ddcforest,37.8898854795,127.1371472,2020-07-21,6410000,경기도
서운산자연휴양림,경기도,공유림,851805,214,N,Y,"숲속의집, 오토캠핑장, 야영장, 카라반",경기도 안성시 금광면 배티로 185-39,경기도 안성시청,031-678-2913,https://www.anseong.go.kr/tourPortal/anseongforest/main.do,36.9423847036,127.313722,2020-06-16,6410000,경기도
장흥 자연휴양림,경기도,사유림,499000,300,0,N,"물놀이장, 썰매장",경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),080-233-7766,http://www.fes-artvalley.com/,37.7581669246,126.9685293171,2020-06-16,6410000,경기도
아세안자연휴양림,경기도,공유림,583880,500,1000,Y,"숲속의집14동, 안내센터, 다목적광장 등",경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,www.huyang.go.kr,37.7738229255,126.9421758102,2020-06-16,6410000,경기도
용문산자연휴양림,경기도,공유림,870852,300,무료(주차료 없음),Y,"행복마루, 솔마루, 하늘마루, 산림휴양관,숲속의집,생태행복관,야영데크 등",경기도 양평군 양평읍 약수사길 78-14,경기도 양평군청,031-775-4005,www.swijapark.com,37.5160492074,127.5194198171,2020-02-26,6410000,경기도
